[0906/015734.452:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ee4001afc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/015734.644:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ee4001afc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/015735.759:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ee4001afc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/015736.035:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ee4001afc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0906/015908.108:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x8bc001b5000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/015908.235:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x8bc001b5000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/015909.230:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x8bc001b5000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/015909.470:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x8bc001b5000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0906/021150.177:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62d400ab5800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/021150.301:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62d400ab5800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/021151.180:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62d400ab5800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/021151.398:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62d400ab5800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0906/021245.911:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f400acce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/021246.050:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f400acce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/021247.055:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f400acce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/021247.310:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4f400acce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0906/022421.531:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x503c00aac000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/022421.677:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x503c00aac000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/022422.469:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x503c00aac000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/022422.533:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x503c00aac000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0906/113224.011:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x395c00ad0c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
